Vcell	Icell	time
4.099950	1.970000	26.369833
4.099650	1.960000	26.403500
4.100250	1.960000	26.437333
4.100540	1.960000	26.471000
4.098760	1.970000	26.504667
4.101140	1.960000	26.538333
4.099060	1.960000	26.572000
4.099950	1.950000	26.605500
4.101140	1.940000	26.639333
4.100540	1.950000	26.673000
4.098460	1.960000	26.706833
4.101730	1.940000	26.740500
4.100540	1.940000	26.774333
4.100250	1.940000	26.807833
4.100840	1.940000	26.841667
4.098460	1.940000	26.875500
4.099650	1.930000	26.909333
4.099060	1.940000	26.943167
4.100840	1.920000	26.977000
4.100840	1.920000	27.010667
4.101730	1.900000	27.044500
4.099650	1.920000	27.078333
4.099950	1.910000	27.112000
4.098170	1.920000	27.145667
4.098760	1.910000	27.179667
4.100250	1.910000	27.213333
4.100840	1.900000	27.247167
4.099650	1.900000	27.281000
4.101730	1.890000	27.314833
4.099060	1.890000	27.348667
4.099350	1.890000	27.382333
4.099950	1.890000	27.416167
4.098760	1.890000	27.450000
4.100250	1.890000	27.483667
4.100250	1.880000	27.517333
4.099950	1.890000	27.551000
4.099060	1.880000	27.584833
4.099950	1.880000	27.618500
4.100540	1.870000	27.652167
4.099650	1.860000	27.685833
4.099650	1.860000	27.719667
4.100840	1.860000	27.753333
4.101140	1.860000	27.787167
4.099650	1.860000	27.820833
4.100250	1.860000	27.854833
4.097870	1.860000	27.888500
4.097570	1.860000	27.922333
4.101440	1.850000	27.956000
4.099350	1.850000	27.989833
4.099950	1.840000	28.023667
4.099350	1.840000	28.057333
4.100250	1.840000	28.091167
4.098760	1.840000	28.124833
4.099950	1.840000	28.158500
4.100540	1.830000	28.192500
4.098760	1.840000	28.226167
4.099350	1.830000	28.260000
4.101140	1.830000	28.293833
4.100840	1.830000	28.327667
4.100540	1.820000	28.361667
4.100250	1.820000	28.395333
4.100540	1.820000	28.429000
4.100540	1.810000	28.463000
4.100540	1.810000	28.496667
4.100840	1.800000	28.530500
4.099950	1.800000	28.564333
4.099950	1.800000	28.598000
4.099650	1.800000	28.631667
4.101730	1.790000	28.665500
4.099060	1.790000	28.699167
4.098760	1.790000	28.733167
4.100250	1.790000	28.766833
4.100250	1.780000	28.800667
4.099950	1.780000	28.834333
4.100540	1.790000	28.868167
4.098460	1.790000	28.901833
4.101140	1.780000	28.935500
4.100840	1.780000	28.969333
4.100540	1.770000	29.003000
4.102030	1.770000	29.036667
4.099350	1.770000	29.070333
4.100250	1.770000	29.104000
4.099950	1.770000	29.137833
4.099650	1.770000	29.171500
4.099950	1.770000	29.205167
4.099060	1.760000	29.239000
4.099950	1.760000	29.272833
4.100540	1.750000	29.306667
4.100540	1.750000	29.340333
4.100250	1.740000	29.374167
4.101440	1.730000	29.408000
4.099650	1.740000	29.441833
4.100840	1.730000	29.475667
4.099950	1.730000	29.509333
4.099650	1.730000	29.543333
4.099950	1.730000	29.577167
4.100540	1.730000	29.610833
4.100250	1.730000	29.644833
4.100840	1.720000	29.678500
4.101140	1.720000	29.712167
4.100250	1.730000	29.745833
4.097870	1.730000	29.779500
4.101730	1.720000	29.813333
4.099950	1.710000	29.847000
4.098760	1.720000	29.880833
4.099950	1.710000	29.914667
4.098460	1.720000	29.948333
4.100250	1.710000	29.982167
4.100540	1.710000	30.015833
4.100250	1.700000	30.049667
4.101140	1.700000	30.083333
4.100540	1.690000	30.117167
4.100540	1.690000	30.150833
4.099950	1.700000	30.184667
4.099350	1.700000	30.218167
